sentence1	sentence2	paraphrase_types	sentence1_segment_location	sentence2_segment_location	sentence1_tokenized	sentence2_tokenized	id
The largest gains were seen in prices, new orders, inventories and exports.	Sub-indexes measuring prices, new orders, inventories and exports increased.	[6, 7, 0, 0, 0, 0, 0]	[6, 6, 6, 6, 6, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7]	[7, 7, 6, 6, 6, 6, 6, 6, 6, 6, 0, 6]	['The', 'largest', 'gains', 'were', 'seen', 'in', 'prices', ',', 'new', 'orders', ',', 'inventories', 'and', 'exports', '.']	['Sub-indexes', 'measuring', 'prices', ',', 'new', 'orders', ',', 'inventories', 'and', 'exports', 'increased', '.\n']	5fffe0e1e26b4a1ba0a20ff35d5b303e
Sales fell to $3.3bn in 2002 as the bad news hit the US market.	Sales fell to $3.3bn in 2002, as the bad news from the Women's Health Initiative hit the US market.	[5, 6, 7, 0, 0, 0, 0]	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]	[6, 6, 6, 6, 6, 6, 6, 0, 6, 6, 6, 6, 7, 7, 7, 7, 7, 7, 6, 6, 6, 6, 6]	['Sales', 'fell', 'to', '$', '3.3bn', 'in', '2002', 'as', 'the', 'bad', 'news', 'hit', 'the', 'US', 'market', '.']	"['Sales', 'fell', 'to', '$', '3.3bn', 'in', '2002', ',', 'as', 'the', 'bad', 'news', 'from', 'the', 'Women', ""'s"", 'Health', 'Initiative', 'hit', 'the', 'US', 'market', '.\n']"	c120c5bba34e4a8e898ffbbba484f2bf
The Conference Board reported its U.S. Consumer Confidence Index slipped to 83.5 in June from 83.6 in May.	The consumer-confidence index came in at 83.5 in June, down slightly from a revised 83.6 in May, the Conference Board said.	[2, 6, 7, 0, 0, 0, 0]	[7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 0, 0, 2, 0]	['The', 'Conference', 'Board', 'reported', 'its', 'U.S.', 'Consumer', 'Confidence', 'Index', 'slipped', 'to', '83.5', 'in', 'June', 'from', '83.6', 'in', 'May', '.']	['The', 'consumer-confidence', 'index', 'came', 'in', 'at', '83.5', 'in', 'June', ',', 'down', 'slightly', 'from', 'a', 'revised', '83.6', 'in', 'May', ',', 'the', 'Conference', 'Board', 'said', '.\n']	6c5b9c6bc85c495fac316ec4f14a5eb2
"It's almost as if they (Russians) hit an x-mark on the ground,"" NASA spokesman Robert Navias said."	"It's almost as if they (Russians) hit an x-mark on the ground."""	[6, 7, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 7, 7, 7, 7, 7, 0]	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	"['It', ""'s"", 'almost', 'as', 'if', 'they', '(', 'Russians', ')', 'hit', 'an', 'x-mark', 'on', 'the', 'ground', ',', ""''"", 'NASA', 'spokesman', 'Robert', 'Navias', 'said', '.']"	"['It', ""'s"", 'almost', 'as', 'if', 'they', '(', 'Russians', ')', 'hit', 'an', 'x-mark', 'on', 'the', 'ground', '.', ""''\n""]"	94a4b776927a496eaa746be073c753ac
"The draft statement said progress on the nuclear issue and the pending trade deal were ""interdependent, indissociable and mutually reinforcing elements""."	"They said progress towards resolving the nuclear issue and progress in the trade talks were ""interdependent, essential and mutually reinforcing elements of EU-Iran relations""."	[2, 6, 7, 0, 0, 0, 0]	[7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7]	[0, 0, 0, 0, 7, 0, 0, 0, 0, 7, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 7, 7, 7, 0, 0]	"['The', 'draft', 'statement', 'said', 'progress', 'on', 'the', 'nuclear', 'issue', 'and', 'the', 'pending', 'trade', 'deal', 'were', '``', 'interdependent', ',', 'indissociable', 'and', 'mutually', 'reinforcing', 'elements', ""''"", '.']"	"['They', 'said', 'progress', 'towards', 'resolving', 'the', 'nuclear', 'issue', 'and', 'progress', 'in', 'the', 'trade', 'talks', 'were', '``', 'interdependent', ',', 'essential', 'and', 'mutually', 'reinforcing', 'elements', 'of', 'EU-Iran', 'relations', ""''"", '.\n']"	1fdd103f1c7642afabbb7a03db2f74da
In September, Hewlett-Packard signed a development and marketing deal with the company.	Four months later it signed a joint marketing agreement with Hewlett-Packard Co.	[2, 3, 5, 6, 7, 0, 0]	[6, 6, 6, 5, 7, 7, 5, 5, 5, 5, 5, 5, 5, 7]	[0, 0, 0, 5, 6, 6, 7, 5, 5, 5, 5, 5, 6]	['In', 'September', ',', 'Hewlett-Packard', 'signed', 'a', 'development', 'and', 'marketing', 'deal', 'with', 'the', 'company', '.']	['Four', 'months', 'later', 'it', 'signed', 'a', 'joint', 'marketing', 'agreement', 'with', 'Hewlett-Packard', 'Co', '.\n']	567549afe31944c080c4ecafc1344584
"""If that ain't a Democrat, then I must be at the wrong meeting,"" he said to a standing ovation."	"And if that ain't a Democrat, then I must be in the wrong meeting,"" he said to thunderous applause from his supporters."	[2, 5, 6, 7, 0, 0, 0]	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]	"['``', 'If', 'that', 'ai', ""n't"", 'a', 'Democrat', ',', 'then', 'I', 'must', 'be', 'at', 'the', 'wrong', 'meeting', ',', ""''"", 'he', 'said', 'to', 'a', 'standing', 'ovation', '.']"	"['And', 'if', 'that', 'ai', ""n't"", 'a', 'Democrat', ',', 'then', 'I', 'must', 'be', 'in', 'the', 'wrong', 'meeting', ',', ""''"", 'he', 'said', 'to', 'thunderous', 'applause', 'from', 'his', 'supporters', '.\n']"	85c6821fde8447c980f77b5ae59404d3
This change in attitude gave upscale purveyors including Neiman Marcus, the parent of Bergdorf Goodman; and Nordstrom strong sales gains in May.	This change in attitude gave upscale purveyors including Neiman Marcus Group Inc. and Nordstrom Inc., along with some boutique retailers, strong sales gains in May.	[2, 6, 7, 0, 0, 0, 0]	[7, 7, 7, 7, 7, 7, 7, 7, 2, 2, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7]	[7, 7, 7, 7, 7, 7, 7, 7, 2, 2, 2, 2, 7, 2, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	['This', 'change', 'in', 'attitude', 'gave', 'upscale', 'purveyors', 'including', 'Neiman', 'Marcus', ',', 'the', 'parent', 'of', 'Bergdorf', 'Goodman', ';', 'and', 'Nordstrom', 'strong', 'sales', 'gains', 'in', 'May', '.']	['This', 'change', 'in', 'attitude', 'gave', 'upscale', 'purveyors', 'including', 'Neiman', 'Marcus', 'Group', 'Inc.', 'and', 'Nordstrom', 'Inc.', ',', 'along', 'with', 'some', 'boutique', 'retailers', ',', 'strong', 'sales', 'gains', 'in', 'May', '.\n']	1e76331cfc5f4f3db2b3a888e124cf2e
Investigators were searching his home in Muenster in the presence of his wife when news of his death came, prosecutor Wolfgang Schweer told The Associated Press.	A prosecutor said investigators were searching his home in Muenster in the presence of his wife when news of his death arrived.	[2, 6, 7, 0, 0, 0, 0]	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 2, 2, 2, 7, 7, 7, 0]	[2, 2, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	['Investigators', 'were', 'searching', 'his', 'home', 'in', 'Muenster', 'in', 'the', 'presence', 'of', 'his', 'wife', 'when', 'news', 'of', 'his', 'death', 'came', ',', 'prosecutor', 'Wolfgang', 'Schweer', 'told', 'The', 'Associated', 'Press', '.']	['A', 'prosecutor', 'said', 'investigators', 'were', 'searching', 'his', 'home', 'in', 'Muenster', 'in', 'the', 'presence', 'of', 'his', 'wife', 'when', 'news', 'of', 'his', 'death', 'arrived', '.\n']	30f85239a4fd45bfbedbdf0485cefded
The United States and Russia have spent billions since the 1960s on a handful of space craft designed to land on Mars.	The United States and Russia spent billions on a dozen or so robotic craft meant to land on Mars and radio back their findings.	[1, 2, 6, 7, 0, 0, 0]	[7, 7, 7, 7, 7, 1, 1, 7, 7, 7, 7, 7, 7, 2, 2, 6, 7, 2, 7, 7, 7, 7, 7]	[7, 7, 7, 7, 7, 1, 7, 7, 7, 2, 2, 2, 6, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	['The', 'United', 'States', 'and', 'Russia', 'have', 'spent', 'billions', 'since', 'the', '1960s', 'on', 'a', 'handful', 'of', 'space', 'craft', 'designed', 'to', 'land', 'on', 'Mars', '.']	['The', 'United', 'States', 'and', 'Russia', 'spent', 'billions', 'on', 'a', 'dozen', 'or', 'so', 'robotic', 'craft', 'meant', 'to', 'land', 'on', 'Mars', 'and', 'radio', 'back', 'their', 'findings', '.\n']	322eb15c74fb4676ac39159a9772b435
Dennehy's family reported him missing June 19, seven days after he was last seen on campus.	Dennehy’s family reported him missing June 19, about a week after he was last seen on the Baylor campus in Waco.	[2, 6, 7, 0, 0, 0, 0]	[7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 2, 7, 7, 7, 7, 7, 7, 2, 7]	[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 2, 2, 2, 7, 7, 0]	"['Dennehy', ""'s"", 'family', 'reported', 'him', 'missing', 'June', '19', ',', 'seven', 'days', 'after', 'he', 'was', 'last', 'seen', 'on', 'campus', '.']"	['Dennehy’s', 'family', 'reported', 'him', 'missing', 'June', '19', ',', 'about', 'a', 'week', 'after', 'he', 'was', 'last', 'seen', 'on', 'the', 'Baylor', 'campus', 'in', 'Waco', '.\n']	186b4a3042844d5eaf1c3db7820e1b1f
The decision was among the most significant steps toward deregulation undertaken during the Bush administration.	The decision is among the far-reaching deregulatory actions made during the Bush administration.	[1, 2, 6, 0, 0, 0, 0]	[6, 6, 1, 6, 6, 2, 2, 2, 0, 1, 2, 6, 6, 6, 6, 6]	[6, 6, 1, 6, 6, 2, 1, 2, 2, 6, 6, 6, 6, 6]	['The', 'decision', 'was', 'among', 'the', 'most', 'significant', 'steps', 'toward', 'deregulation', 'undertaken', 'during', 'the', 'Bush', 'administration', '.']	['The', 'decision', 'is', 'among', 'the', 'far-reaching', 'deregulatory', 'actions', 'made', 'during', 'the', 'Bush', 'administration', '.\n']	b3ef5ecc8fa1464db5167dd60de125e8
"""Rendezvous has been a TIBCO mark for many years and is one of our flagship products,"" said George Ahn, chief marketing officer, Tibco."	"Tibco's chief marketing officer George Ahn said: ""Rendezvous has been a Tibco mark for many years and is one of our flagship products."	[2, 3, 4, 5, 6, 7, 0]	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 6]	[7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6]	"['``', 'Rendezvous', 'has', 'been', 'a', 'TIBCO', 'mark', 'for', 'many', 'years', 'and', 'is', 'one', 'of', 'our', 'flagship', 'products', ',', ""''"", 'said', 'George', 'Ahn', ',', 'chief', 'marketing', 'officer', ',', 'Tibco', '.']"	"['Tibco', ""'s"", 'chief', 'marketing', 'officer', 'George', 'Ahn', 'said', ':', '``', 'Rendezvous', 'has', 'been', 'a', 'Tibco', 'mark', 'for', 'many', 'years', 'and', 'is', 'one', 'of', 'our', 'flagship', 'products', '.\n']"	3b23451791024598a49e4e31a47d8ba3
"He said European governments ""have blocked all new bio-crops because of unfounded, unscientific fears."	"""They have blocked all new bio-crops because of unfounded, unscientific fears,"" Bush said."	[2, 5, 6, 7, 0, 0, 0]	[2, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6]	[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 0, 5, 2, 6, 6]	['He', 'said', 'European', 'governments', '``', 'have', 'blocked', 'all', 'new', 'bio-crops', 'because', 'of', 'unfounded', ',', 'unscientific', 'fears', '.']	"['``', 'They', 'have', 'blocked', 'all', 'new', 'bio-crops', 'because', 'of', 'unfounded', ',', 'unscientific', 'fears', ',', ""''"", 'Bush', 'said', '.\n']"	1b8c8693ffa34d5ab1c26f1a170c81da
American forces here organized the elections, which officials say are important steps toward establishing democracy in Iraq.	U.S. forces organized the elections, which officials said were a step toward establishing democracy in the nation.	[1, 2, 6, 7, 0, 0, 0]	[2, 0, 7, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 2, 0]	[2, 7, 7, 7, 7, 7, 7, 7, 1, 1, 0, 1, 7, 7, 7, 7, 2, 2, 7]	['American', 'forces', 'here', 'organized', 'the', 'elections', ',', 'which', 'officials', 'say', 'are', 'important', 'steps', 'toward', 'establishing', 'democracy', 'in', 'Iraq', '.']	['U.S.', 'forces', 'organized', 'the', 'elections', ',', 'which', 'officials', 'said', 'were', 'a', 'step', 'toward', 'establishing', 'democracy', 'in', 'the', 'nation', '.\n']	3491775fda264b4880490113da3cae87
The church was already grieving the death of Chief Warrant Officer 3 Kyran Kennedy, a congregation member who was killed in another helicopter crash in Iraq on Nov. 7.	The church already was grieving for the death of a congregation member who was killed in another helicopter crash in Iraq on Nov. 7.	[2, 6, 7, 0, 0, 0, 0]	[0, 0, 0, 7, 2, 0, 0, 0, 7, 7, 7, 7, 7, 7, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[7, 7, 7, 0, 2, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0]	['The', 'church', 'was', 'already', 'grieving', 'the', 'death', 'of', 'Chief', 'Warrant', 'Officer', '3', 'Kyran', 'Kennedy', ',', 'a', 'congregation', 'member', 'who', 'was', 'killed', 'in', 'another', 'helicopter', 'crash', 'in', 'Iraq', 'on', 'Nov.', '7', '.']	['The', 'church', 'already', 'was', 'grieving', 'for', 'the', 'death', 'of', 'a', 'congregation', 'member', 'who', 'was', 'killed', 'in', 'another', 'helicopter', 'crash', 'in', 'Iraq', 'on', 'Nov.', '7', '.\n']	915b1c29041a4a0d9cd2ec89466af306
But they are split over whether the Fed will acknowledge risks are tilted toward weakness, or say they are balanced.	Wall Street is debating whether the central bank will say risks are tilted toward weakness or balanced with inflation.	[2, 4, 5, 6, 7, 0, 0]	[7, 2, 0, 2, 2, 7, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 7, 4, 4, 4, 7]	[2, 2, 0, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	['But', 'they', 'are', 'split', 'over', 'whether', 'the', 'Fed', 'will', 'acknowledge', 'risks', 'are', 'tilted', 'toward', 'weakness', ',', 'or', 'say', 'they', 'are', 'balanced', '.']	['Wall', 'Street', 'is', 'debating', 'whether', 'the', 'central', 'bank', 'will', 'say', 'risks', 'are', 'tilted', 'toward', 'weakness', 'or', 'balanced', 'with', 'inflation', '.\n']	8dde0c1e7b2941e0a2c46e8e5d77bd81
"He cut his rating for XL shares to ""neutral"" from ""buy,"" and said the shares ""will not rebound quickly."""	"He cut his rating for XL shares from ""buy"" to ""neutral"" and said the shares would not ""rebound quickly""."	[1, 5, 6, 7, 0, 0, 0]	[5, 5, 5, 5, 6, 6, 6, 7, 7, 7, 7, 6, 6, 6, 5, 6, 5, 5, 6, 6, 5, 5, 5, 5, 5, 5, 5]	[5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 7, 7, 7, 7, 5, 5, 6, 6, 5, 5, 5, 5, 5, 5, 5]	"['He', 'cut', 'his', 'rating', 'for', 'XL', 'shares', 'to', '``', 'neutral', ""''"", 'from', '``', 'buy', ',', ""''"", 'and', 'said', 'the', 'shares', '``', 'will', 'not', 'rebound', 'quickly', '.', ""''""]"	"['He', 'cut', 'his', 'rating', 'for', 'XL', 'shares', 'from', '``', 'buy', ""''"", 'to', '``', 'neutral', ""''"", 'and', 'said', 'the', 'shares', 'would', 'not', '``', 'rebound', 'quickly', ""''"", '.\n']"	b96bfce75bed470891a1e40d5ef5fc73
"""Mr Gilbertson would have been entitled to these (pension) payments irrespective of the circumstances in which he left the company,"" Mr Argus said."	"""Mr Gilbertson would have been entitled to those superannuation payments irrespective of the circumstances in which he left the company,"" he said."	[2, 5, 6, 0, 0, 0, 0]	[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]	[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]	"['``', 'Mr', 'Gilbertson', 'would', 'have', 'been', 'entitled', 'to', 'these', '(', 'pension', ')', 'payments', 'irrespective', 'of', 'the', 'circumstances', 'in', 'which', 'he', 'left', 'the', 'company', ',', ""''"", 'Mr', 'Argus', 'said', '.']"	"['``', 'Mr', 'Gilbertson', 'would', 'have', 'been', 'entitled', 'to', 'those', 'superannuation', 'payments', 'irrespective', 'of', 'the', 'circumstances', 'in', 'which', 'he', 'left', 'the', 'company', ',', ""''"", 'he', 'said', '.\n']"	d768108eeb614f61b5ac402521a5e0ab
"""Kahuku Ranch has world - class qualities - tremendous resources, tremendous beauty and tremendous value to global biodiversity."""	"""Kahuku Ranch has world-class qualities—tremendous resources, tremendous beauty and tremendous value to global biodiversity,"" he said."	[5, 6, 7, 0, 0, 0, 0]	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 6, 7, 7, 6]	"['``', 'Kahuku', 'Ranch', 'has', 'world', '-', 'class', 'qualities', '-', 'tremendous', 'resources', ',', 'tremendous', 'beauty', 'and', 'tremendous', 'value', 'to', 'global', 'biodiversity', '.', ""''""]"	"['``', 'Kahuku', 'Ranch', 'has', 'world-class', 'qualities—tremendous', 'resources', ',', 'tremendous', 'beauty', 'and', 'tremendous', 'value', 'to', 'global', 'biodiversity', ',', ""''"", 'he', 'said', '.\n']"	e9498eb914d14958898f0c1fe5dcd8f1
The memorandum analyzed lawful activities, such as recruiting demonstrators, and illegal activities, such as using fake documentation to get into a secured site.	The memo analyzed lawful activities like recruiting demonstrators, as well as illegal activities like using fake documentation to get into a secured site.	[2, 5, 6, 0, 0, 0, 0]	[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]	[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]	['The', 'memorandum', 'analyzed', 'lawful', 'activities', ',', 'such', 'as', 'recruiting', 'demonstrators', ',', 'and', 'illegal', 'activities', ',', 'such', 'as', 'using', 'fake', 'documentation', 'to', 'get', 'into', 'a', 'secured', 'site', '.']	['The', 'memo', 'analyzed', 'lawful', 'activities', 'like', 'recruiting', 'demonstrators', ',', 'as', 'well', 'as', 'illegal', 'activities', 'like', 'using', 'fake', 'documentation', 'to', 'get', 'into', 'a', 'secured', 'site', '.\n']	84a4ab40be1a4946890c2ab8f8224f4e
Beckham will receive a yearly salary of $10 million plus bonuses, earning him about $220,000 a game.	Beckham will pocket a weekly salary of about $213,000 and earn $10 million a year, plus bonuses.	[1, 2, 4, 5, 6, 7, 0]	[6, 6, 2, 7, 7, 7, 7, 5, 5, 5, 5, 5, 4, 4, 4, 7, 7, 6, 7, 7, 6]	[6, 6, 2, 7, 7, 7, 7, 7, 7, 6, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 6]	['Beckham', 'will', 'receive', 'a', 'yearly', 'salary', 'of', '$', '10', 'million', 'plus', 'bonuses', ',', 'earning', 'him', 'about', '$', '220,000', 'a', 'game', '.']	['Beckham', 'will', 'pocket', 'a', 'weekly', 'salary', 'of', 'about', '$', '213,000', 'and', 'earn', '$', '10', 'million', 'a', 'year', ',', 'plus', 'bonuses', '.\n']	7d023807dff54b94a14f1defec526bd2
Laotian officials yesterday called on France, the former colonial power, to help the country find an alternative investor to EdF.	Lao officials on Friday called on France, its former colonial ruler, to help the country find an alternative investor to replace EdF.	[1, 2, 6, 7, 0, 0, 0]	[1, 7, 6, 7, 7, 7, 7, 2, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	[1, 6, 0, 0, 6, 6, 6, 6, 2, 6, 6, 2, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 6, 6]	['Laotian', 'officials', 'yesterday', 'called', 'on', 'France', ',', 'the', 'former', 'colonial', 'power', ',', 'to', 'help', 'the', 'country', 'find', 'an', 'alternative', 'investor', 'to', 'EdF', '.']	['Lao', 'officials', 'on', 'Friday', 'called', 'on', 'France', ',', 'its', 'former', 'colonial', 'ruler', ',', 'to', 'help', 'the', 'country', 'find', 'an', 'alternative', 'investor', 'to', 'replace', 'EdF', '.\n']	c4d8253b5a5548d2bee6762bb870067a
French retirees will increase from one fifth to a third of the population by 2040.	By 2040, retirees will account for a third of the population, up from a fifth today.	[2, 6, 7, 0, 0, 0, 0]	[7, 7, 7, 2, 2, 0, 0, 2, 7, 7, 7, 7, 7, 7, 7, 7]	[7, 7, 7, 7, 7, 2, 2, 7, 7, 7, 7, 7, 0, 2, 2, 0, 0, 7, 7]	['French', 'retirees', 'will', 'increase', 'from', 'one', 'fifth', 'to', 'a', 'third', 'of', 'the', 'population', 'by', '2040', '.']	['By', '2040', ',', 'retirees', 'will', 'account', 'for', 'a', 'third', 'of', 'the', 'population', ',', 'up', 'from', 'a', 'fifth', 'today', '.\n']	29778f1317294622aded2b6c9acf7f90
Two of the Britons, Sandy Mitchell from Glasgow and Glasgow-born William Sampson, face the death penalty.	Sandy Mitchell, 44, from Kirkintilloch, Glasgow, and William Sampson, a British citizen born in Glasgow, face beheading in public.	[2, 6, 7, 0, 0, 0, 0]	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 2, 2, 7, 7, 7, 7, 7, 7]	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 2, 2, 2, 2, 2, 2, 2, 2, 7, 7, 0, 0, 0, 7]	['Two', 'of', 'the', 'Britons', ',', 'Sandy', 'Mitchell', 'from', 'Glasgow', 'and', 'Glasgow-born', 'William', 'Sampson', ',', 'face', 'the', 'death', 'penalty', '.']	['Sandy', 'Mitchell', ',', '44', ',', 'from', 'Kirkintilloch', ',', 'Glasgow', ',', 'and', 'William', 'Sampson', ',', 'a', 'British', 'citizen', 'born', 'in', 'Glasgow', ',', 'face', 'beheading', 'in', 'public', '.\n']	2f8875e77d224a20bc80bc563f9cc763
World Airways Inc. and North American Airlines Inc. also have filed applications seeking authority to provide service to Iraq.	Cargo carriers World Airways Inc. and North American Airlines Inc. have also applied for permission to fly to Baghdad, Mosley said.	[2, 6, 7, 0, 0, 0, 0]	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 2, 2, 7, 7, 7, 7, 7, 7]	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 2, 2, 0, 0, 0, 0, 7, 7, 7, 7]	['World', 'Airways', 'Inc.', 'and', 'North', 'American', 'Airlines', 'Inc.', 'also', 'have', 'filed', 'applications', 'seeking', 'authority', 'to', 'provide', 'service', 'to', 'Iraq', '.']	['Cargo', 'carriers', 'World', 'Airways', 'Inc.', 'and', 'North', 'American', 'Airlines', 'Inc.', 'have', 'also', 'applied', 'for', 'permission', 'to', 'fly', 'to', 'Baghdad', ',', 'Mosley', 'said', '.\n']	babc6b6189cd48baa7661ea4c51dc7a6
"""I think we made some mistakes with this exam, and it's up to us to identify and correct them,"" Mills said."	"Mills yesterday admitted, ""We made some mistakes with this exam and it's up to us to identify and correct them."	[2, 5, 6, 7, 0, 0, 0]	[6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6]	[6, 6, 6, 6, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6]	"['``', 'I', 'think', 'we', 'made', 'some', 'mistakes', 'with', 'this', 'exam', ',', 'and', 'it', ""'s"", 'up', 'to', 'us', 'to', 'identify', 'and', 'correct', 'them', ',', ""''"", 'Mills', 'said', '.']"	"['Mills', 'yesterday', 'admitted', ',', '``', 'We', 'made', 'some', 'mistakes', 'with', 'this', 'exam', 'and', 'it', ""'s"", 'up', 'to', 'us', 'to', 'identify', 'and', 'correct', 'them', '.\n']"	5b95b17eca224afd815b77bab33a5226
A total of 17 cases have been confirmed in the southern city of Basra, the Organization said.	A total of 17 confirmed cases of cholera were reported yesterday by the World Health Organisation in the southern Iraqi city of Basra.	[1, 2, 3, 6, 7, 0, 0]	[7, 7, 7, 7, 7, 0, 0, 1, 7, 7, 7, 7, 7, 7, 0, 0, 2, 3, 7]	[0, 0, 0, 0, 1, 0, 7, 7, 3, 3, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0]	['A', 'total', 'of', '17', 'cases', 'have', 'been', 'confirmed', 'in', 'the', 'southern', 'city', 'of', 'Basra', ',', 'the', 'Organization', 'said', '.']	['A', 'total', 'of', '17', 'confirmed', 'cases', 'of', 'cholera', 'were', 'reported', 'yesterday', 'by', 'the', 'World', 'Health', 'Organisation', 'in', 'the', 'southern', 'Iraqi', 'city', 'of', 'Basra', '.\n']	b9e2f0fd075940a2aca31f5dce285453
Wells’ other series include NBC’s ER and Third Watch.	"Wells' other series include NBC's ""ER"" and ""Third Watch."""	[5, 6, 0, 0, 0, 0, 0]	[6, 6, 6, 6, 6, 5, 6, 5, 5, 6]	[6, 0, 6, 6, 6, 6, 6, 5, 5, 5, 6, 5, 5, 5, 6, 5]	['Wells’', 'other', 'series', 'include', 'NBC’s', 'ER', 'and', 'Third', 'Watch', '.']	"['Wells', ""'"", 'other', 'series', 'include', 'NBC', ""'s"", '``', 'ER', ""''"", 'and', '``', 'Third', 'Watch', '.', ""''\n""]"	a8c8bd2eb29e4c6ab262cc44bfaecd71
